price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_basement,zipcode,lat,long,sqft_lot15,age,renovated
221900.0,3,1.0,5650,1.0,0,0,3,0,98178,47.5112,-122.257,5650,68,0
180000.0,2,1.0,10000,1.0,0,0,3,0,98028,47.7379,-122.233,8062,90,0
604000.0,4,3.0,5000,1.0,0,0,5,910,98136,47.5208,-122.393,5000,58,0
510000.0,3,2.0,8080,1.0,0,0,3,0,98074,47.6168,-122.045,7503,36,0
257500.0,3,2.25,6819,2.0,0,0,3,0,98003,47.3097,-122.327,6819,28,0
291850.0,3,1.5,9711,1.0,0,0,3,0,98198,47.4095,-122.315,9711,60,0
229500.0,3,1.0,7470,1.0,0,0,3,730,98146,47.5123,-122.337,8113,63,0
323000.0,3,2.5,6560,2.0,0,0,3,0,98038,47.3684,-122.031,7570,20,0
468000.0,2,1.0,6000,1.0,0,0,4,300,98115,47.69,-122.292,6000,81,0
310000.0,3,1.0,19901,1.5,0,0,4,0,98028,47.7558,-122.229,12697,96,0
400000.0,3,1.75,9680,1.0,0,0,4,0,98074,47.6127,-122.045,10208,46,0
530000.0,5,2.0,4850,1.5,0,0,3,0,98107,47.67,-122.394,4850,123,0
395000.0,3,2.0,14040,2.0,0,0,3,0,98019,47.7277,-121.962,14018,29,0
485000.0,4,1.0,4300,1.5,0,0,4,0,98103,47.6648,-122.343,4300,107,0
189000.0,2,1.0,9850,1.0,0,0,4,0,98002,47.3089,-122.21,5095,102,0
230000.0,3,1.0,9774,1.0,0,0,4,0,98003,47.3343,-122.306,8850,54,0
385000.0,4,1.75,4980,1.0,0,0,4,760,98133,47.7025,-122.341,4980,76,0
285000.0,5,2.5,6300,2.0,0,0,3,0,98092,47.3266,-122.169,7005,28,0
252700.0,2,1.5,9643,1.0,0,0,3,0,98030,47.3533,-122.166,8386,38,0
329000.0,3,2.25,6500,2.0,0,0,4,0,98030,47.3739,-122.172,6865,38,0
233000.0,3,2.0,4697,1.5,0,0,5,0,98002,47.3048,-122.218,4705,82,0
937000.0,3,1.75,2691,2.0,0,0,3,700,98119,47.6386,-122.36,3573,108,0
667000.0,3,1.0,1581,1.5,0,0,5,0,98112,47.6221,-122.314,3861,114,0
438000.0,3,1.75,6380,1.0,0,0,3,730,98115,47.695,-122.304,6235,75,0
719000.0,4,2.5,7173,2.0,0,0,3,0,98052,47.7073,-122.11,6026,18,0
580500.0,3,2.5,3980,2.0,0,0,3,0,98027,47.5391,-122.07,3980,20,0
280000.0,2,1.5,1265,3.0,0,0,3,0,98133,47.7274,-122.357,1756,18,0
687500.0,4,1.75,5000,1.5,0,0,4,820,98117,47.6823,-122.368,5000,94,0
535000.0,3,1.0,3000,1.5,0,0,4,0,98117,47.6889,-122.375,5080,94,0
322500.0,4,2.75,6659,1.0,0,0,3,780,98058,47.4276,-122.157,8720,42,0
640000.0,4,2.0,6000,2.0,0,0,4,0,98107,47.6702,-122.362,4700,119,0
240000.0,4,1.0,8075,1.0,0,0,2,330,98001,47.3341,-122.282,7800,54,0
605000.0,4,2.5,7553,2.0,0,0,3,0,98056,47.5301,-122.18,11884,27,0
625000.0,4,2.5,5520,2.0,0,0,3,0,98074,47.6145,-122.027,5669,23,0
861990.0,5,2.75,5639,2.0,0,0,3,0,98053,47.6848,-122.016,5639,9,0
685000.0,3,1.0,2280,2.0,0,0,3,0,98119,47.6413,-122.364,2640,101,0
309000.0,3,1.0,9656,1.0,0,0,4,360,98058,47.4485,-122.175,8808,64,0
488000.0,3,2.5,13603,2.0,0,0,3,0,98019,47.7443,-121.977,9232,20,0
210490.0,3,1.0,8528,1.0,0,0,3,0,98023,47.3066,-122.371,8840,57,0
785000.0,4,2.5,13416,2.0,0,0,4,0,98007,47.6194,-122.151,13685,42,0
450000.0,3,1.75,5963,1.0,0,0,4,0,98115,47.6796,-122.301,5100,70,0
228000.0,3,1.0,9199,1.0,0,0,3,0,98148,47.4258,-122.322,9364,68,0
